"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","subject_id","experimental_order","consent_response","consent_timestamp","task","mandarin_english_bilingual","native_language","english_age_of_acquisition","years_in_us","english_proficiency_score","mandarin_proficiency","english_proficiency","normal_or_corrected_vision","character","pinyin","ink_color","correct_key","response_color","correct","block","item_id","translation","source_condition","source_ink_color","is_filler","condition","is_critical","repetition"
"html-button-response","11307","<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confiden-tiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and writ-ten data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independent Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","0","2.1.0","11330","1bxf3yc7rm","block2_then_block1","agree","2026-05-18T06:15:36.175Z","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13832","
    <div class=""instructions"">
      <h2>Welcome</h2>
      <p>Thank you for participating in this experiment.</p>
      <p>This study has two kinds of tasks:</p>
      <ol>
        <li>Read Chinese characters aloud in Mandarin.</li>
        <li>Name the ink color of Chinese characters in English.</li>
      </ol>
      <p>Press <strong>Space</strong> to continue.</p>
    </div>
  "," ","1","2.1.0","25167","1bxf3yc7rm","block2_then_block1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","73437","","{""mandarin_english_bilingual"":""yes"",""native_language"":""Chinese"",""english_age_of_acquisition"":""13"",""years_in_us"":""0"",""english_proficiency_score"":""Don't remember"",""mandarin_proficiency"":""native"",""english_proficiency"":""advanced"",""normal_or_corrected_vision"":""yes""}","2","2.1.0","98613","1bxf3yc7rm","block2_then_block1","","","participant_information","yes","Chinese","13","0","Don't remember","native","advanced","yes","","","","","","","","","","","","","","",""
"html-keyboard-response","5091","
    <div class=""instructions"">
      <h2>Color Response Keys</h2>
      <p>In the color-naming task, respond to the <strong>ink color</strong>, not the meaning of the character.</p>
      <ul>
        <li><strong>R</strong> = red</li>
        <li><strong>Y</strong> = yellow</li>
        <li><strong>B</strong> = blue</li>
        <li><strong>G</strong> = green</li>
      </ul>
      <p>Respond as quickly and accurately as possible.</p>
      <p>Press <strong>Space</strong> to continue.</p>
    </div>
  "," ","3","2.1.0","103719","1bxf3yc7rm","block2_then_block1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4762","
      <div class=""instructions"">
        <h2>Practice</h2>
        <p>First, you will practice reading Chinese characters aloud.</p>
        <p>Press <strong>Space</strong> to start.</p>
      </div>
    "," ","4","2.1.0","108482","1bxf3yc7rm","block2_then_block1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","null","<div class=""fixation"">+</div>","null","5","2.1.0","108993","1bxf3yc7rm","block2_then_block1","","","fixation","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2908","<div class=""chinese-character"" style=""color:#000000;"">日</div>"," ","6","2.1.0","111908","1bxf3yc7rm","block2_then_block1","","","practice_character_naming","","","","","","","","","日","ri4","","","","","","","","","","","","",""
"html-keyboard-response","null","","null","7","2.1.0","112927","1bxf3yc7rm","block2_then_block1","","","inter_trial_interval","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","null","<div class=""fixation"">+</div>","null","8","2.1.0","113443","1bxf3yc7rm","block2_then_block1","","","fixation","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","846","<div class=""chinese-character"" style=""color:#000000;"">木</div>"," ","9","2.1.0","114291","1bxf3yc7rm","block2_then_block1","","","practice_character_naming","","","","","","","","","木","mu4","","","","","","","","","","","","",""
"html-keyboard-response","null","","null","10","2.1.0","115296","1bxf3yc7rm","block2_then_block1","","","inter_trial_interval","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","null","<div class=""fixation"">+</div>","null","11","2.1.0","115810","1bxf3yc7rm","block2_then_block1","","","fixation","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","579","<div class=""chinese-character"" style=""color:#000000;"">人</div>"," ","12","2.1.0","116390","1bxf3yc7rm","block2_then_block1","","","practice_character_naming","","","","","","","","","人","ren2","","","","","","","","","","","","",""
"html-keyboard-response","null","","null","13","2.1.0","117403","1bxf3yc7rm","block2_then_block1","","","inter_trial_interval","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","null","<div class=""fixation"">+</div>","null","14","2.1.0","117919","1bxf3yc7rm","block2_then_block1","","","fixation","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","588","<div class=""chinese-character"" style=""color:#000000;"">火</div>"," ","15","2.1.0","118510","1bxf3yc7rm","block2_then_block1","","","practice_character_naming","","","","","","","","","火","huo3","","","","","","","","","","","","",""
"html-keyboard-response","null","","null","16","2.1.0","119525","1bxf3yc7rm","block2_then_block1","","","inter_trial_interval","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10563","
      <div class=""instructions"">
        <h2>Color Practice</h2>
        <p>Now practice naming the ink color in English using the keyboard.</p>
        <p><strong>R</strong> = red, <strong>Y</strong> = yellow, <strong>B</strong> = blue, <strong>G</strong> = green.</p>
        <p>Press <strong>Space</strong> to start.</p>
      </div>
    "," ","17","2.1.0","130090","1bxf3yc7rm","block2_then_block1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","null","<div class=""fixation"">+</div>","null","18","2.1.0","130594","1bxf3yc7rm","block2_then_block1","","","fixation","","","","","","","","","","","","","","","","","","","","","","",""
